UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA 
SP,35,46108,Santa Clara d'Oeste,2.118
SP,35,46207,Santa Cruz da Conceição,4.461
SP,35,46256,Santa Cruz da Esperança,2.124
SP,35,46306,Santa Cruz das Palmeiras,33.975
SP,35,46405,Santa Cruz do Rio Pardo,47.395
SP,35,46504,Santa Ernestina,5.611
SP,35,46603,Santa Fé do Sul,32.076
SP,35,46702,Santa Gertrudes,26.403
SP,35,46801,Santa Isabel,56.792
SP,35,46900,Santa Lúcia,8.779
SP,35,47007,Santa Maria da Serra,6.107
SP,35,47106,Santa Mercedes,2.935
SP,35,47205,Santana da Ponte Pensa,1.507
SP,35,47304,Santana de Parnaíba,136.517
SP,35,47403,Santa Rita d'Oeste,2.510
SP,35,47502,Santa Rita do Passa Quatro,27.514
SP,35,47601,Santa Rosa de Viterbo,26.322
SP,35,47650,Santa Salete,1.539
SP,35,47700,Santo Anastácio,20.889
SP,35,47809,Santo André,716.109
SP,35,47908,Santo Antônio da Alegria,6.880
SP,35,48005,Santo Antônio de Posse,23.085
SP,35,48054,Santo Antônio do Aracanguá,8.356
SP,35,48104,Santo Antônio do Jardim,5.968
SP,35,48203,Santo Antônio do Pinhal,6.794
SP,35,48302,Santo Expedito,3.086
SP,35,48401,Santópolis do Aguapeí,4.736
SP,35,48500,Santos,432.957
SP,35,48609,São Bento do Sapucaí,10.862
SP,35,48708,São Bernardo do Campo,833.240
SP,35,48807,São Caetano do Sul,160.275
SP,35,48906,São Carlos,249.415
SP,35,49003,São Francisco,2.826
SP,35,49102,São João da Boa Vista,90.637
SP,35,49201,São João das Duas Pontes,2.574
SP,35,49250,São João de Iracema,1.912
SP,35,49300,São João do Pau d'Alho,2.111
SP,35,49409,São Joaquim da Barra,51.447
SP,35,49508,São José da Bela Vista,8.895
SP,35,49607,São José do Barreiro,4.151
SP,35,49706,São José do Rio Pardo,54.763
SP,35,49805,São José do Rio Preto,456.245
SP,35,49904,São José dos Campos,713.943
SP,35,49953,São Lourenço da Serra,15.667
SP,35,50001,São Luís do Paraitinga,10.684
SP,35,50100,São Manuel,40.781
SP,35,50209,São Miguel Arcanjo,32.859
SP,35,50308,São Paulo,12.176.866
SP,35,50407,São Pedro,35.318
SP,35,50506,São Pedro do Turvo,7.636
SP,35,50605,São Roque,89.943
SP,35,50704,São Sebastião,87.596
SP,35,50803,São Sebastião da Grama,12.205
SP,35,50902,São Simão,15.257
SP,35,51009,São Vicente,363.173
SP,35,51108,Sarapuí,10.177
SP,35,51207,Sarutaiá,3.646
SP,35,51306,Sebastianópolis do Sul,3.470
SP,35,51405,Serra Azul,14.334
SP,35,51504,Serrana,44.555
SP,35,51603,Serra Negra,29.001
SP,35,51702,Sertãozinho,124.453
SP,35,51801,Sete Barras,12.884
SP,35,51900,Severínia,17.328
SP,35,52007,Silveiras,6.264
SP,35,52106,Socorro,40.648
SP,35,52205,Sorocaba,671.186
SP,35,52304,Sud Mennucci,7.708
SP,35,52403,Sumaré,278.571
SP,35,52502,Suzano,294.638
SP,35,52551,Suzanápolis,3.911
SP,35,52601,Tabapuã,12.328
SP,35,52700,Tabatinga,16.345
SP,35,52809,Taboão da Serra,285.570
SP,35,52908,Taciba,6.240
SP,35,53005,Taguaí,13.569
SP,35,53104,Taiaçu,6.268
SP,35,53203,Taiúva,5.568
